date,sales,revenue,stock,price,promo_bin_2,promo_discount_2,promo_discount_type_2
2017-01-02,263.09,734.41,9753.91,5691.12,0.0,0.0,0.0
2017-01-13,321.83,634.08,10949.345,7158.11,0.0,0.0,0.0
2017-01-14,346.93,863.75,11445.16,7239.31,0.0,0.0,0.0
2017-01-15,398.39,879.78,11311.37,7237.07,0.0,0.0,0.0
2017-01-16,253.5,644.97,11968.97,7302.0199999999995,0.0,0.0,0.0
2017-01-17,294.29,694.9399999999999,12057.48,7323.5199999999995,0.0,0.0,0.0
2017-01-18,254.54,655.45,11778.48,6896.38,0.0,0.0,0.0
2017-01-19,219.0,633.87,10452.94,5866.43,0.0,0.0,0.0
2017-01-20,568.0,7372.94,9811.94,5875.0199999999995,0.0,0.0,0.0
2017-01-21,613.9449999999999,7435.669999999999,9416.395,5857.85,0.0,0.0,0.0
2017-01-22,299.395,799.77,9208.97,5828.98,0.0,0.0,0.0
2017-01-23,215.36,642.1800000000001,9019.44,5817.3,0.0,0.0,0.0
2017-01-24,250.19,550.05,9849.33,5685.91,0.0,0.0,0.0
2017-01-25,224.075,520.28,9707.255,5687.71,0.0,0.0,0.0
2017-01-26,338.095,952.04,9620.76,5707.61,0.0,0.0,0.0
2017-01-27,269.0,758.66,9734.76,5652.61,0.0,0.0,0.0
2017-01-28,339.46500000000003,978.9,10075.395,5712.35,0.0,0.0,0.0
2017-01-29,364.75,1085.54,9926.455,5703.79,0.0,0.0,0.0
2017-01-30,219.68,662.86,9745.675,5658.89,0.0,0.0,0.0
2017-01-31,263.044,654.0,9823.445,5663.41,0.0,0.0,0.0
2017-02-01,228.66,548.65,11097.31,7073.88,0.0,0.0,0.0
2017-02-02,202.175,640.87,9840.035,5880.66,0.0,0.0,0.0
2017-02-13,255.36,723.21,9550.205,5858.87,0.0,0.0,0.0
2017-02-14,260.985,758.39,9583.32,5816.45,0.0,0.0,0.0
2017-02-15,268.84,610.18,9559.48,5850.2,0.0,0.0,0.0
2017-02-16,82.0,193.48,3059.0,1729.46,0.0,0.0,0.0
2017-03-01,254.805,664.33,11122.44,7041.97,0.0,0.0,0.0
2017-03-02,285.21,735.15,9791.125,5906.15,0.0,0.0,0.0
2017-04-01,285.06,840.03,10944.08,6989.23,0.0,0.0,0.0
2017-04-02,287.965,902.77,9741.06,5901.19,0.0,0.0,0.0
2017-05-01,307.735,889.73,11051.445,7110.08,0.0,0.0,0.0
2017-05-02,303.53,752.14,9538.43,5882.59,0.0,0.0,0.0
2017-06-01,287.997,677.14,10946.29,7089.63,0.0,0.0,0.0
2017-06-02,226.065,658.79,9461.865,5862.74,0.0,0.0,0.0
2017-07-01,321.99,1024.78,11047.9,7089.53,0.0,0.0,0.0
2017-07-02,266.445,667.58,9984.22,5888.49,0.0,0.0,0.0
2017-08-01,279.015,802.61,10863.665,7127.68,0.0,0.0,0.0
2017-08-02,228.6,652.72,9864.05,5848.47,0.0,0.0,0.0
2017-09-01,287.165,862.76,10692.0,7089.42,0.0,0.0,0.0
2017-09-02,184.77,516.65,10115.965,5855.97,0.0,0.0,0.0
2017-10-01,207.085,550.7,11009.52,7089.8099999999995,0.0,0.0,0.0
2017-10-02,247.07,683.39,10106.395,5843.97,0.0,0.0,0.0
2017-11-01,291.915,764.79,10824.015,7117.96,0.0,0.0,0.0
2017-11-02,302.9,1090.86,10067.595,5866.62,0.0,0.0,0.0
2017-12-01,240.34,630.03,11066.675,7132.46,0.0,0.0,0.0
2017-12-02,437.348,1371.26,9718.765,5869.7699999999995,0.0,0.0,0.0
